order_id,order_date,customer_id,product_id,quantity,discount,channel,delivery_days
ORD-10001,2025-10-12,C0093,P012,3,0.0,Партнёр,3
ORD-10002,2025-04-18,C0008,P001,2,0.0,Онлайн,4
ORD-10003,2025-10-16,C0057,P001,1,0.0,Онлайн,6
ORD-10004,2025-11-24,C0126,P006,2,0.05,Онлайн,5
ORD-10005,2025-02-25,C0001,P004,1,0.15,Онлайн,6
ORD-10006,2025-04-11,C0089,P001,2,0.05,Магазин,4
ORD-10007,2025-07-13,C0047,P003,2,0.0,Онлайн,6
ORD-10008,2025-05-02,C0042,P009,2,0.2,Онлайн,4
ORD-10009,2025-11-12,C0129,P003,1,0.0,Онлайн,4
ORD-10010,2025-02-02,C0002,P012,2,0.0,Онлайн,1
ORD-10011,2025-06-23,C0044,P002,4,0.1,Магазин,4
ORD-10012,2025-04-13,C0154,P007,4,0.0,Магазин,7
ORD-10013,2025-04-17,C0046,P003,6,0.05,Магазин,9
ORD-10014,2025-01-29,C0066,P009,5,0.05,Магазин,5
ORD-10015,2025-04-19,C0039,P007,3,0.05,Онлайн,4
ORD-10016,2025-09-26,C0063,P005,1,0.0,Магазин,5
ORD-10017,2025-04-21,C0133,P010,2,0.15,Магазин,6
ORD-10018,2025-10-11,C0026,P009,5,0.0,Онлайн,8
ORD-10019,2025-04-07,C0001,P012,1,0.2,Магазин,5
ORD-10020,2025-07-29,C0162,P002,6,0.1,Магазин,6
ORD-10021,2025-09-21,C0010,P006,4,0.05,Магазин,2
ORD-10022,2025-03-11,C0004,P001,4,0.0,Партнёр,7
ORD-10023,2025-08-15,C0110,P003,4,0.05,Магазин,4
ORD-10024,2025-10-06,C0103,P004,5,0.2,Онлайн,4
ORD-10025,2025-12-11,C0003,P001,5,0.1,Онлайн,4
ORD-10026,2025-10-09,C0161,P008,3,0.1,Онлайн,5
ORD-10027,2025-04-07,C0033,P009,2,0.15,Партнёр,4
ORD-10028,2025-05-06,C0085,P011,5,0.15,Онлайн,4
ORD-10029,2025-02-02,C0134,P008,5,0.15,Магазин,4
ORD-10030,2025-10-12,C0163,P009,6,0.15,Онлайн,9
ORD-10031,2025-06-07,C0134,P006,1,0.2,Онлайн,6
ORD-10032,2025-12-06,C0160,P008,3,0.05,Магазин,6
ORD-10033,2025-05-21,C0074,P001,4,0.2,Онлайн,9
ORD-10034,2025-05-04,C0068,P005,3,0.0,Онлайн,4
ORD-10035,2025-01-18,C0062,P001,6,,Онлайн,7
ORD-10036,2025-08-02,C0159,P005,2,0.0,Онлайн,4
ORD-10037,2025-01-21,C0085,P006,2,0.0,Онлайн,5
ORD-10038,2025-03-31,C0118,P009,3,0.0,Онлайн,4
ORD-10039,2025-04-25,C0138,P004,6,0.15,Партнёр,7
ORD-10040,2025-05-10,C0172,P008,1,0.0,Онлайн,6
ORD-10041,2025-06-05,C0018,P010,6,0.1,Онлайн,5
ORD-10042,2025-01-30,C0046,P006,1,0.15,Магазин,5
ORD-10043,2025-09-28,C0054,P011,3,0.05,Магазин,2
ORD-10044,2025-01-16,C0038,P008,6,0.0,Партнёр,5
ORD-10045,2025-05-21,C0048,P003,6,0.0,Онлайн,7
ORD-10046,2025-03-09,C0045,P011,5,0.15,Партнёр,4
ORD-10047,2025-07-15,C0096,P009,2,0.0,Онлайн,4
ORD-10048,2025-01-28,C0160,P001,5,0.05,Онлайн,6
ORD-10049,2025-05-24,C0097,P010,3,0.0,Онлайн,5
ORD-10050,2025-02-02,C0087,P011,6,0.0,Онлайн,5
ORD-10051,2025-03-02,C0046,P011,1,0.0,Партнёр,7
ORD-10052,2025-12-01,C0110,P001,3,0.05,Онлайн,4
ORD-10053,2025-11-03,C0178,P002,5,0.1,Онлайн,5
ORD-10054,2025-10-30,C0166,P009,3,0.0,Онлайн,4
ORD-10055,2025-08-29,C0113,P001,5,0.15,Онлайн,5
ORD-10056,2025-07-13,C0079,P004,4,0.0,Партнёр,5
ORD-10057,2025-11-17,C0012,P005,3,0.0,Онлайн,7
ORD-10058,2025-07-01,C0071,P002,6,0.05,Магазин,5
ORD-10059,2025-04-21,C0119,P008,4,0.05,Партнёр,4
ORD-10060,2025-07-22,C0032,P002,5,0.15,Онлайн,4
ORD-10061,2025-04-16,C0161,P009,5,0.2,Онлайн,7
ORD-10062,2025-03-04,C0055,P005,6,0.05,Магазин,3
ORD-10063,2025-11-23,C0102,P002,5,0.05,Партнёр,10
ORD-10064,2025-03-11,C0117,P005,3,0.05,Онлайн,4
ORD-10065,2025-10-29,C0017,P004,5,0.1,Магазин,6
ORD-10066,2025-11-20,C0059,P010,2,0.15,Партнёр,7
ORD-10067,2025-11-30,C0121,P003,1,0.0,Онлайн,5
ORD-10068,2025-04-13,C0122,P011,6,0.0,Онлайн,3
ORD-10069,2025-10-08,C0172,P007,4,0.0,Магазин,6
ORD-10070,2025-09-20,C0176,P007,3,0.1,Онлайн,3
ORD-10071,2025-09-13,C0158,P012,4,0.05,Партнёр,5
ORD-10072,2025-04-30,C0058,P011,4,0.05,Магазин,4
ORD-10073,2025-10-23,C0044,P005,6,0.15,Магазин,5
ORD-10074,2025-01-08,C0135,P012,5,0.1,Онлайн,4
ORD-10075,2025-09-13,C0044,P008,4,0.05,Онлайн,5
ORD-10076,2025-05-13,C0074,P004,2,0.15,Партнёр,7
ORD-10077,2025-05-14,C0002,P001,3,0.15,Магазин,3
ORD-10078,2025-09-13,C0140,P008,1,0.05,Партнёр,5
ORD-10079,2025-12-12,C0028,P001,3,0.1,Партнёр,6
ORD-10080,2025-08-19,C0013,P012,1,0.15,Онлайн,5
ORD-10081,2025-03-23,C0120,P006,1,0.15,Онлайн,4
ORD-10082,2025-07-04,C0100,P003,4,0.1,Магазин,6
ORD-10083,2025-01-09,C0180,P001,4,0.0,Магазин,5
ORD-10084,2025-04-27,C0058,P004,3,0.05,Онлайн,6
ORD-10085,2025-10-06,C0064,P004,5,0.15,Магазин,6
ORD-10086,2025-05-25,C0058,P003,5,0.15,Онлайн,6
ORD-10087,2025-04-08,C0026,P007,6,0.0,Онлайн,9
ORD-10088,2025-04-13,C0013,P007,1,0.0,Онлайн,5
ORD-10089,2025-02-06,C0007,P005,4,0.15,Онлайн,7
ORD-10090,2025-01-24,C0155,P004,5,0.1,Магазин,7
ORD-10091,2025-06-04,C0072,P007,5,0.0,Магазин,5
ORD-10092,2025-07-16,C0136,P009,3,0.05,Онлайн,8
ORD-10093,2025-08-25,C0136,P012,1,0.0,Онлайн,8
ORD-10094,2025-01-17,C0149,P001,3,0.2,Онлайн,4
ORD-10095,2025-03-07,C0081,P012,3,0.15,Партнёр,5
ORD-10096,2025-06-15,C0035,P008,2,0.1,Онлайн,7
ORD-10097,2025-01-03,C0102,P009,4,0.15,Магазин,8
ORD-10098,2025-07-13,C0009,P012,4,0.05,Онлайн,4
ORD-10099,2025-04-05,C0137,P002,5,0.1,Онлайн,5
ORD-10100,2025-02-18,C0094,P002,2,0.1,Магазин,5
ORD-10101,2025-05-13,C0001,P001,2,0.15,Магазин,6
ORD-10102,2025-11-03,C0161,P002,3,0.05,Партнёр,7
ORD-10103,2025-05-05,C0039,P006,4,0.0,Магазин,5
ORD-10104,2025-11-22,C0018,P005,2,0.05,Онлайн,4
ORD-10105,2025-08-26,C0155,P003,2,0.05,Онлайн,8
ORD-10106,2025-05-05,C0048,P012,4,0.0,Партнёр,4
ORD-10107,2025-09-13,C0018,P010,1,0.0,Магазин,3
ORD-10108,2025-03-14,C0154,P012,5,0.15,Онлайн,9
ORD-10109,2025-06-11,C0008,P003,3,0.05,Партнёр,5
ORD-10110,2025-12-01,C0146,P012,2,0.2,Онлайн,5
ORD-10111,2025-10-21,C0072,P010,4,0.0,Онлайн,7
ORD-10112,2025-12-25,C0019,P010,6,0.1,Онлайн,8
ORD-10113,2025-06-10,C0078,P010,4,0.15,Партнёр,5
ORD-10114,2025-10-10,C0060,P004,3,0.1,Онлайн,5
ORD-10115,2025-05-08,C0100,P005,2,0.05,Онлайн,8
ORD-10116,2025-04-22,C0030,P007,5,0.05,Онлайн,7
ORD-10117,2025-10-04,C0136,P007,2,0.15,Партнёр,8
ORD-10118,2025-02-08,C0121,P012,1,0.2,Онлайн,5
ORD-10119,2025-12-03,C0105,P012,1,0.0,Магазин,3
ORD-10120,2025-01-31,C0005,P005,5,0.15,Онлайн,6
ORD-10121,2025-06-15,C0001,P007,5,0.05,Партнёр,9
ORD-10122,2025-11-07,C0102,P001,2,0.0,Магазин,5
ORD-10123,2025-03-20,C0097,P003,6,0.2,Партнёр,5
ORD-10124,2025-12-06,C0107,P012,6,0.05,Онлайн,7
ORD-10125,2025-07-04,C0087,P003,4,0.2,Магазин,7
ORD-10126,2025-12-08,C0067,P002,3,0.0,Магазин,7
ORD-10127,2025-01-26,C0052,P009,2,0.15,Онлайн,5
ORD-10128,2025-07-04,C0084,P006,5,0.0,Магазин,6
ORD-10129,2025-10-16,C0112,P002,1,0.05,Онлайн,2
ORD-10130,2025-06-13,C0026,P007,2,0.05,Онлайн,9
ORD-10131,2025-03-14,C0073,P003,5,0.2,Онлайн,6
ORD-10132,2025-12-28,C0157,P011,4,0.05,Онлайн,8
ORD-10133,2025-03-16,C0097,P005,6,0.2,Онлайн,4
ORD-10134,2025-07-18,C0055,P007,6,0.0,Партнёр,3
ORD-10135,2025-11-29,C0022,P004,1,0.15,Онлайн,3
ORD-10136,2025-01-26,C0165,P011,4,0.05,Онлайн,7
ORD-10137,2025-03-04,C0175,P004,2,0.0,Онлайн,4
ORD-10138,2025-03-14,C0017,P009,6,0.1,Магазин,7
ORD-10139,2025-08-14,C0152,P005,6,0.0,Магазин,8
ORD-10140,2025-05-22,C0098,P012,6,0.2,Магазин,1
ORD-10141,2025-06-16,C0083,P011,3,0.05,Онлайн,6
ORD-10142,2025-09-22,C0014,P007,5,0.05,Партнёр,8
ORD-10143,2025-02-01,C0007,P004,1,0.0,Партнёр,8
ORD-10144,2025-05-20,C0093,P008,6,0.2,Онлайн,6
ORD-10145,2025-05-10,C0028,P012,1,0.0,Магазин,3
