ticket_id,created_at,client_id,channel_code,category,priority,status,resolution_hours
T001,2026-05-01 09:10,C001,CH01,Доступ к аккаунту,Высокий,Resolved,2.5
T002,2026-05-01 10:25,C002,CH02,Оплата,Средний,Resolved,5.0
T003,2026-05-01 11:40,C003,CH03,Техническая ошибка,Высокий,In Progress,
T004,2026-05-02 08:15, C004 ,CH01,Доставка,Низкий,Resolved,8.0
T005,2026-05-02 13:30,C005,CH04,Возврат,Средний,Open,
T006,2026-05-03 09:05,C006, CH02 ,Оплата,Высокий,Resolved,3.5
T007,2026-05-03 12:20,C007,CH03,Консультация,Низкий,Resolved,1.0
T008,2026-05-04 14:00,C008,CH05,Техническая ошибка,Высокий,Resolved,12.0
T009,2026-05-04 15:45,C009,CH01,Доступ к аккаунту,Средний,Resolved,4.0
T010,2026-05-05 09:35,C010,CH02,Доставка,Низкий,Open,
T011,2026-05-05 11:10,C001,CH03,Оплата,Средний,Resolved,6.5
T012,2026-05-06 10:00,C002,CH04,Возврат,Высокий,Resolved,15.0
T013,2026-05-06 16:25,C003,CH05,Консультация,Низкий,Resolved,0.8
T014,2026-05-07 08:50,C004,CH01,Техническая ошибка,Высокий,In Progress,
T015,2026-05-07 13:15,C005,CH02,Доступ к аккаунту,Средний,Resolved,2.0
T016,2026-05-08 09:45,C006,CH03,Доставка,Низкий,Resolved,7.0
T017,2026-05-08 12:35,C007,CH04,Оплата,Средний,Resolved,4.5
T018,2026-05-09 10:20,C008,CH05,Возврат,Высокий,Open,
T019,2026-05-09 14:30,C009,CH01,Консультация,Низкий,Resolved,1.5
T020,2026-05-10 09:00,C010,CH02,Техническая ошибка,Высокий,Resolved,10.0
T021,2026-05-10 11:55,C001,CH03,Доставка,Средний,Resolved,6.0
T022,2026-05-11 08:40,C002,CH04,Доступ к аккаунту,Высокий,Resolved,3.0
T023,2026-05-11 13:20,C003,CH05,Оплата,Средний,In Progress,
T024,2026-05-12 10:15,C004,CH01,Возврат,Низкий,Resolved,9.0
T025,2026-05-12 15:05,C005,CH02,Консультация,Низкий,Resolved,1.2
T026,2026-05-13 09:25,C006,CH03,Техническая ошибка,Высокий,Resolved,11.0
T027,2026-05-13 12:10,C007,CH04,Доставка,Средний,Resolved,5.5
T028,2026-05-14 08:30,C999,CH05,Доступ к аккаунту,Высокий,Resolved,2.8
T029,2026-05-14 14:45,C008,CH99,Оплата,Средний,Resolved,4.2
T030,2026-05-15 10:05,C999,CH01,Возврат,Высокий,Open,
