platform,platform_code,reporting_order,decade,age_rating,movie_count,mean_rating,median_rating,mean_movie_age,high_rating_share
Netflix,NF,1,1950,unknown,5,53.4,51.0,69.8,0.0
Netflix,NF,1,1960,0+,1,75.0,75.0,62.0,0.0
Netflix,NF,1,1960,unknown,6,45.0,44.0,62.0,0.0
Netflix,NF,1,1970,18+,6,73.5,79.0,50.333,0.5
Netflix,NF,1,1970,7+,4,71.75,73.0,49.25,0.25
Netflix,NF,1,1970,unknown,15,45.067,44.0,50.467,0.0
Netflix,NF,1,1980,13+,3,54.333,54.0,40.333,0.0
Netflix,NF,1,1980,16+,2,54.5,54.5,40.5,0.0
Netflix,NF,1,1980,18+,14,60.714,58.0,42.143,0.071
Netflix,NF,1,1980,7+,7,64.571,65.0,40.143,0.0
Netflix,NF,1,1980,unknown,34,43.471,44.5,41.147,0.0
Netflix,NF,1,1990,0+,7,56.857,60.0,29.143,0.0
Netflix,NF,1,1990,13+,21,66.619,66.0,30.571,0.048
Netflix,NF,1,1990,16+,4,57.25,51.0,32.0,0.25
Netflix,NF,1,1990,18+,27,64.222,63.0,30.667,0.111
Netflix,NF,1,1990,7+,11,57.273,59.0,31.455,0.0
Netflix,NF,1,1990,unknown,30,48.0,46.0,32.5,0.0
Netflix,NF,1,2000,0+,22,61.909,59.5,20.955,0.273
Netflix,NF,1,2000,13+,80,66.55,67.0,19.738,0.075
Netflix,NF,1,2000,16+,8,58.375,61.0,20.875,0.0
Netflix,NF,1,2000,18+,62,69.161,70.5,20.355,0.161
Netflix,NF,1,2000,7+,45,60.467,60.0,20.178,0.044
Netflix,NF,1,2000,unknown,93,48.43,48.0,19.946,0.0
Netflix,NF,1,2010,0+,86,48.674,48.5,10.419,0.012
Netflix,NF,1,2010,13+,257,60.669,61.0,10.354,0.062
Netflix,NF,1,2010,16+,102,60.029,57.0,9.088,0.078
Netflix,NF,1,2010,18+,583,62.204,61.0,9.189,0.093
Netflix,NF,1,2010,7+,214,57.285,56.0,10.22,0.065
Netflix,NF,1,2010,unknown,1267,48.367,48.0,9.215,0.016
Netflix,NF,1,2020,0+,28,51.571,50.5,5.821,0.036
Netflix,NF,1,2020,13+,43,62.86,62.0,5.698,0.093
Netflix,NF,1,2020,16+,35,55.057,55.0,5.657,0.029
Netflix,NF,1,2020,18+,185,59.692,59.0,5.697,0.059
Netflix,NF,1,2020,7+,41,57.488,57.0,5.707,0.098
Netflix,NF,1,2020,unknown,347,47.252,48.0,5.703,0.0
Hulu,HU,2,1920,unknown,1,60.0,60.0,103.0,0.0
Hulu,HU,2,1940,0+,1,75.0,75.0,86.0,0.0
Hulu,HU,2,1940,unknown,1,69.0,69.0,85.0,0.0
Hulu,HU,2,1950,unknown,4,49.75,47.0,72.25,0.0
Hulu,HU,2,1960,0+,2,65.0,65.0,58.5,0.0
Hulu,HU,2,1960,13+,1,83.0,83.0,58.0,1.0
Hulu,HU,2,1960,7+,1,55.0,55.0,63.0,0.0
Hulu,HU,2,1960,unknown,6,62.167,62.0,62.667,0.0
Hulu,HU,2,1970,0+,3,62.0,61.0,52.0,0.0
Hulu,HU,2,1970,18+,5,63.0,63.0,52.8,0.0
Hulu,HU,2,1970,7+,2,68.0,68.0,53.0,0.0
Hulu,HU,2,1980,13+,6,62.5,65.0,38.667,0.0
Hulu,HU,2,1980,16+,1,68.0,68.0,38.0,0.0
Hulu,HU,2,1980,18+,13,72.462,75.0,40.846,0.385
Hulu,HU,2,1980,7+,10,67.5,69.0,41.2,0.1
Hulu,HU,2,1980,unknown,2,51.0,51.0,42.5,0.0
Hulu,HU,2,1990,0+,6,45.333,45.5,29.333,0.0
Hulu,HU,2,1990,13+,14,70.214,70.5,31.5,0.071
Hulu,HU,2,1990,16+,1,69.0,69.0,28.0,0.0
Hulu,HU,2,1990,18+,27,64.111,64.0,30.926,0.0
Hulu,HU,2,1990,7+,9,70.333,71.0,30.667,0.111
Hulu,HU,2,1990,unknown,6,55.333,57.5,30.167,0.0
Hulu,HU,2,2000,0+,7,55.714,50.0,20.143,0.143
Hulu,HU,2,2000,13+,42,68.833,69.0,20.024,0.119
Hulu,HU,2,2000,18+,62,68.129,71.0,20.629,0.065
Hulu,HU,2,2000,7+,13,65.769,63.0,20.385,0.231
Hulu,HU,2,2000,unknown,8,53.875,58.0,22.125,0.0
Hulu,HU,2,2010,0+,17,53.059,54.0,9.529,0.0
Hulu,HU,2,2010,13+,92,64.565,66.0,10.641,0.087
Hulu,HU,2,2010,16+,19,54.684,55.0,10.053,0.105
Hulu,HU,2,2010,18+,220,63.445,63.0,10.159,0.055
Hulu,HU,2,2010,7+,55,58.309,56.0,10.164,0.036
