movie_id,platform,age_0+,age_13+,age_16+,age_18+,age_7+,age_unknown,availability_multi_platform,availability_single_platform
1,Netflix,0,0,0,1,0,0,0,1
2,Netflix,0,0,0,0,1,0,0,1
3,Netflix,0,0,0,0,1,0,0,1
4,Netflix,0,0,0,0,1,0,0,1
5,Netflix,0,0,0,1,0,0,0,1
6,Netflix,0,1,0,0,0,0,0,1
7,Netflix,0,1,0,0,0,0,0,1
8,Netflix,0,1,0,0,0,0,0,1
9,Netflix,0,0,1,0,0,0,0,1
10,Netflix,0,0,0,1,0,0,0,1
11,Netflix,0,0,0,1,0,0,0,1
12,Netflix,0,0,0,1,0,0,0,1
13,Netflix,0,0,0,1,0,0,0,1
14,Netflix,0,0,0,1,0,0,0,1
15,Netflix,1,0,0,0,0,0,0,1
16,Netflix,0,0,0,1,0,0,0,1
17,Netflix,0,0,0,1,0,0,0,1
18,Netflix,0,0,1,0,0,0,0,1
19,Netflix,0,0,0,1,0,0,0,1
20,Netflix,0,0,0,0,1,0,0,1
21,Netflix,0,0,0,1,0,0,0,1
22,Netflix,0,0,0,1,0,0,0,1
23,Netflix,0,1,0,0,0,0,0,1
24,Netflix,0,0,0,1,0,0,0,1
25,Netflix,0,0,0,1,0,0,0,1
26,Netflix,0,0,1,0,0,0,0,1
27,Netflix,0,0,0,1,0,0,0,1
28,Netflix,0,0,0,1,0,0,0,1
29,Netflix,0,0,0,1,0,0,0,1
30,Netflix,0,1,0,0,0,0,0,1
31,Netflix,0,0,0,0,1,0,0,1
32,Netflix,0,0,0,1,0,0,0,1
33,Netflix,0,0,0,1,0,0,0,1
34,Netflix,0,0,0,1,0,0,0,1
35,Netflix,0,0,0,1,0,0,0,1
36,Netflix,0,0,0,0,0,1,0,1
37,Netflix,0,0,0,1,0,0,0,1
38,Netflix,0,1,0,0,0,0,0,1
39,Netflix,0,0,0,0,1,0,0,1
40,Netflix,0,0,0,1,0,0,0,1
41,Netflix,0,0,0,0,0,1,0,1
42,Netflix,0,0,0,1,0,0,0,1
43,Netflix,0,0,0,1,0,0,0,1
44,Netflix,0,0,0,1,0,0,0,1
45,Netflix,1,0,0,0,0,0,0,1
46,Netflix,1,0,0,0,0,0,0,1
47,Netflix,0,0,1,0,0,0,0,1
48,Netflix,0,0,0,1,0,0,0,1
49,Netflix,0,0,1,0,0,0,0,1
50,Netflix,0,0,0,1,0,0,0,1
51,Netflix,0,0,0,1,0,0,0,1
52,Netflix,0,0,0,1,0,0,0,1
53,Netflix,0,1,0,0,0,0,0,1
54,Netflix,0,1,0,0,0,0,0,1
55,Netflix,0,0,0,1,0,0,0,1
56,Netflix,0,0,0,1,0,0,0,1
57,Netflix,0,1,0,0,0,0,0,1
58,Netflix,0,0,0,0,0,1,0,1
59,Netflix,1,0,0,0,0,0,0,1
60,Netflix,0,0,0,1,0,0,0,1
61,Netflix,0,0,0,1,0,0,0,1
62,Netflix,0,0,0,1,0,0,0,1
63,Netflix,0,0,1,0,0,0,0,1
64,Netflix,0,0,0,0,1,0,0,1
65,Netflix,0,1,0,0,0,0,0,1
66,Netflix,0,0,0,0,0,1,0,1
67,Netflix,1,0,0,0,0,0,0,1
68,Netflix,0,0,0,1,0,0,0,1
69,Netflix,0,0,1,0,0,0,0,1
70,Netflix,0,0,0,1,0,0,0,1
71,Netflix,0,1,0,0,0,0,0,1
72,Netflix,0,0,0,1,0,0,0,1
73,Netflix,0,0,0,1,0,0,0,1
74,Netflix,0,0,0,1,0,0,0,1
75,Netflix,0,1,0,0,0,0,0,1
76,Netflix,0,1,0,0,0,0,0,1
77,Netflix,0,0,0,1,0,0,0,1
78,Netflix,0,0,0,1,0,0,0,1
79,Netflix,0,0,0,1,0,0,0,1
80,Netflix,0,1,0,0,0,0,0,1
81,Netflix,0,1,0,0,0,0,1,0
82,Netflix,0,0,0,0,1,0,0,1
83,Netflix,0,0,0,0,1,0,0,1
84,Netflix,1,0,0,0,0,0,0,1
85,Netflix,0,0,0,1,0,0,0,1
86,Netflix,0,0,0,1,0,0,0,1
87,Netflix,0,0,0,1,0,0,0,1
88,Netflix,0,0,0,0,1,0,0,1
89,Netflix,0,0,0,0,0,1,0,1
90,Netflix,0,0,0,1,0,0,0,1
91,Netflix,0,0,0,1,0,0,0,1
92,Netflix,0,0,0,1,0,0,0,1
93,Netflix,0,0,0,0,0,1,0,1
94,Netflix,0,0,0,1,0,0,0,1
95,Netflix,0,0,0,0,0,1,0,1
96,Netflix,0,0,0,1,0,0,0,1
97,Netflix,0,0,0,1,0,0,0,1
98,Netflix,0,0,1,0,0,0,0,1
99,Netflix,0,0,0,1,0,0,0,1
100,Netflix,0,0,0,1,0,0,0,1
101,Netflix,0,1,0,0,0,0,0,1
102,Netflix,0,0,0,1,0,0,0,1
103,Netflix,0,1,0,0,0,0,0,1
104,Netflix,0,0,0,1,0,0,0,1
105,Netflix,0,0,0,1,0,0,0,1
106,Netflix,1,0,0,0,0,0,0,1
107,Netflix,0,1,0,0,0,0,0,1
108,Netflix,0,0,0,0,1,0,1,0
109,Netflix,0,0,0,0,1,0,0,1
110,Netflix,0,0,0,1,0,0,0,1
111,Netflix,0,0,0,1,0,0,0,1
112,Netflix,0,0,0,1,0,0,0,1
113,Netflix,0,0,0,1,0,0,0,1
114,Netflix,0,1,0,0,0,0,0,1
115,Netflix,0,0,0,0,0,1,0,1
116,Netflix,0,1,0,0,0,0,0,1
117,Netflix,0,1,0,0,0,0,1,0
118,Netflix,0,1,0,0,0,0,0,1
119,Netflix,0,0,0,0,1,0,0,1
120,Netflix,0,0,0,1,0,0,0,1
121,Netflix,0,0,0,1,0,0,0,1
122,Netflix,0,0,0,0,1,0,0,1
123,Netflix,0,0,0,0,0,1,0,1
124,Netflix,0,0,0,0,0,1,0,1
125,Netflix,0,0,0,1,0,0,0,1
126,Netflix,0,0,0,1,0,0,0,1
127,Netflix,0,0,0,1,0,0,0,1
128,Netflix,0,0,0,0,0,1,0,1
129,Netflix,0,0,0,1,0,0,0,1
130,Netflix,0,0,0,1,0,0,0,1
131,Netflix,0,0,0,0,0,1,0,1
132,Netflix,0,0,0,0,0,1,0,1
133,Netflix,0,0,0,1,0,0,0,1
134,Netflix,0,0,0,0,1,0,0,1
135,Netflix,0,0,0,1,0,0,0,1
136,Netflix,0,0,0,1,0,0,0,1
137,Netflix,0,0,0,1,0,0,0,1
138,Netflix,0,0,1,0,0,0,0,1
139,Netflix,0,0,0,1,0,0,0,1
140,Netflix,0,0,0,1,0,0,0,1
141,Netflix,0,0,0,0,0,1,0,1
142,Netflix,0,0,0,0,0,1,0,1
143,Netflix,0,0,0,1,0,0,0,1
144,Netflix,0,0,0,1,0,0,0,1
145,Netflix,0,0,0,1,0,0,0,1
146,Netflix,0,0,1,0,0,0,0,1
147,Netflix,1,0,0,0,0,0,0,1
148,Netflix,0,1,0,0,0,0,0,1
149,Netflix,0,0,0,1,0,0,0,1
150,Netflix,0,0,0,0,0,1,0,1
151,Netflix,0,0,0,0,0,1,0,1
152,Netflix,0,0,0,0,1,0,0,1
153,Netflix,0,0,0,0,1,0,0,1
154,Netflix,0,0,0,1,0,0,0,1
155,Netflix,0,0,0,1,0,0,0,1
156,Netflix,0,1,0,0,0,0,1,0
157,Netflix,0,0,0,1,0,0,0,1
158,Netflix,0,0,0,1,0,0,0,1
159,Netflix,0,1,0,0,0,0,1,0
160,Netflix,0,0,0,0,0,1,0,1
161,Netflix,0,0,0,0,1,0,0,1
162,Netflix,0,1,0,0,0,0,0,1
163,Netflix,0,0,0,0,0,1,0,1
164,Netflix,0,0,0,0,0,1,0,1
165,Netflix,0,0,0,0,1,0,0,1
166,Netflix,0,0,0,0,1,0,0,1
167,Netflix,0,0,0,0,1,0,0,1
168,Netflix,0,1,0,0,0,0,1,0
169,Netflix,0,1,0,0,0,0,0,1
170,Netflix,0,0,0,1,0,0,0,1
171,Netflix,0,1,0,0,0,0,1,0
172,Netflix,0,0,0,1,0,0,0,1
173,Netflix,0,0,0,1,0,0,0,1
174,Netflix,0,0,0,0,1,0,0,1
175,Netflix,0,1,0,0,0,0,0,1
176,Netflix,0,0,0,1,0,0,0,1
177,Netflix,0,0,0,1,0,0,0,1
178,Netflix,0,0,0,0,0,1,0,1
179,Netflix,0,0,0,0,1,0,0,1
180,Netflix,0,0,0,1,0,0,0,1
181,Netflix,0,0,0,0,0,1,0,1
182,Netflix,0,1,0,0,0,0,0,1
183,Netflix,0,0,0,0,0,1,0,1
184,Netflix,0,0,0,1,0,0,0,1
185,Netflix,0,0,0,1,0,0,1,0
186,Netflix,0,1,0,0,0,0,1,0
187,Netflix,0,0,0,0,0,1,0,1
188,Netflix,0,0,0,0,1,0,0,1
189,Netflix,0,0,0,1,0,0,0,1
190,Netflix,0,0,0,1,0,0,0,1
191,Netflix,0,0,0,1,0,0,0,1
192,Netflix,0,0,0,0,0,1,0,1
193,Netflix,0,0,1,0,0,0,0,1
194,Netflix,0,0,0,0,0,1,0,1
195,Netflix,0,1,0,0,0,0,0,1
196,Netflix,0,0,0,0,1,0,0,1
197,Netflix,0,0,0,1,0,0,0,1
198,Netflix,0,0,0,1,0,0,0,1
199,Netflix,0,1,0,0,0,0,0,1
200,Netflix,0,1,0,0,0,0,1,0
201,Netflix,0,1,0,0,0,0,0,1
202,Netflix,0,0,0,0,0,1,0,1
203,Netflix,0,0,0,0,0,1,0,1
204,Netflix,0,1,0,0,0,0,0,1
205,Netflix,0,1,0,0,0,0,0,1
206,Netflix,0,1,0,0,0,0,0,1
207,Netflix,0,0,0,0,0,1,0,1
208,Netflix,0,0,0,1,0,0,0,1
209,Netflix,0,0,0,0,0,1,0,1
210,Netflix,0,1,0,0,0,0,0,1
211,Netflix,0,0,0,0,0,1,0,1
212,Netflix,0,1,0,0,0,0,0,1
213,Netflix,0,0,0,0,0,1,0,1
214,Netflix,0,0,0,1,0,0,0,1
215,Netflix,0,0,0,0,1,0,0,1
216,Netflix,0,1,0,0,0,0,0,1
217,Netflix,0,0,0,1,0,0,0,1
218,Netflix,0,0,0,1,0,0,0,1
219,Netflix,0,0,0,1,0,0,0,1
220,Netflix,0,0,1,0,0,0,0,1
221,Netflix,0,0,0,1,0,0,0,1
222,Netflix,0,0,0,1,0,0,0,1
223,Netflix,0,0,0,0,0,1,0,1
224,Netflix,0,1,0,0,0,0,0,1
225,Netflix,0,0,0,1,0,0,0,1
226,Netflix,0,0,0,1,0,0,0,1
227,Netflix,0,0,0,0,1,0,0,1
228,Netflix,0,0,1,0,0,0,0,1
229,Netflix,0,0,0,1,0,0,1,0
230,Netflix,0,0,0,0,0,1,0,1
231,Netflix,0,0,0,0,0,1,0,1
232,Netflix,0,1,0,0,0,0,0,1
233,Netflix,0,1,0,0,0,0,0,1
234,Netflix,0,0,0,1,0,0,0,1
235,Netflix,0,1,0,0,0,0,0,1
236,Netflix,0,0,1,0,0,0,0,1
237,Netflix,0,0,0,0,1,0,0,1
238,Netflix,0,0,0,0,0,1,0,1
239,Netflix,0,0,0,0,0,1,0,1
240,Netflix,0,0,0,0,0,1,0,1
241,Netflix,0,1,0,0,0,0,0,1
242,Netflix,0,0,0,1,0,0,0,1
243,Netflix,0,0,0,1,0,0,0,1
244,Netflix,0,1,0,0,0,0,0,1
245,Netflix,0,0,0,1,0,0,0,1
246,Netflix,0,0,0,0,1,0,0,1
247,Netflix,0,0,1,0,0,0,0,1
248,Netflix,0,0,0,1,0,0,0,1
249,Netflix,0,1,0,0,0,0,1,0
250,Netflix,0,0,0,0,0,1,0,1
251,Netflix,0,0,0,1,0,0,0,1
252,Netflix,0,1,0,0,0,0,0,1
253,Netflix,0,1,0,0,0,0,0,1
254,Netflix,0,0,0,0,0,1,0,1
255,Netflix,0,0,0,1,0,0,0,1
