method,feature,min,max,mean,std_ddof0,median,iqr
original,rating_score,10.0,98.0,53.54387808723069,13.192190363599453,52.0,18.0
original,movie_age,5.0,112.0,18.57761429322123,19.129361407962723,11.0,12.0
original,title_length,2.0,103.0,17.791802417235942,10.574006939795945,15.0,12.0
original,platform_count,1.0,4.0,1.0275354703100368,0.16993884924677455,1.0,0.0
original,age_min,0.0,18.0,12.642038885969521,4.757567575172126,13.0,3.0
minmax,rating_score,0.0,1.0,0.4948167964458033,0.149911254131812,0.4772727272727273,0.20454545454545459
minmax,movie_age,0.0,0.9999999999999999,0.12689359152543203,0.17877907857909084,0.056074766355140186,0.11214953271028036
minmax,title_length,0.0,1.0,0.1563544793785737,0.10469313801778163,0.12871287128712872,0.11881188118811882
minmax,platform_count,0.0,1.0,0.009178490103345593,0.05664628308225818,0.0,0.0
minmax,age_min,0.0,1.0,0.7023354936649733,0.2643093097317848,0.7222222222222222,0.16666666666666663
standard,rating_score,-3.3007314848472107,3.3698817775882657,1.1948170018036366e-17,1.0,-0.11702970050300615,1.3644436218618021
standard,movie_age,-0.709778753386376,4.883716905881191,-1.075335301623273e-16,1.0,-0.3961247911844563,0.6273079244038393
standard,title_length,-1.4934548943601025,8.058269496880847,7.766310511723639e-17,1.0,-0.26402502222017815,1.1348583435137762
standard,platform_count,-0.16203163921659547,17.49137729756859,5.077972257665456e-17,0.9999999999999997,-0.16203163921659547,0.0
standard,age_min,-2.657248412391103,1.1261975850835142,9.558536014429093e-17,1.0,0.07524036356278722,0.6305743329124363
robust,rating_score,-2.3333333333333335,2.5555555555555554,0.0857710048461494,0.732899464644414,0.0,1.0
robust,movie_age,-0.5,8.416666666666666,0.631467857768436,1.5941134506635604,0.0,1.0
robust,title_length,-1.0833333333333333,7.333333333333333,0.23265020143632853,0.8811672449829954,0.0,1.0
robust,platform_count,0.0,3.0,0.027535470310036784,0.16993884924677455,0.0,0.0
robust,age_min,-4.333333333333333,1.6666666666666667,-0.1193203713434927,1.5858558583907088,0.0,1.0
