user_id,sessions_2026_01,minutes_2026_01,spend_2026_01,support_calls_2026_01,satisfaction_2026_01,sessions_2026_02,minutes_2026_02,spend_2026_02,support_calls_2026_02,satisfaction_2026_02,sessions_2026_03,minutes_2026_03,spend_2026_03,support_calls_2026_03,satisfaction_2026_03
U0001,27.0,1362.5,"824,48 ₽",1.0,"4,40",26.0,970.1,"648,26 ₽",1.0,"4,29",32.0,1304.9,"832,56 ₽",,"4,53"
U0002,27.0,1338.1,"531,94 ₽",0.0,"4,70",40.0,2068.3,"757,63 ₽",1.0,"4,28",44.0,2000.7,"825,81 ₽",2.0,"3,59"
U0003,20.0,758.6,"437,32 ₽",0.0,"5,00",20.0,742.3,"456,31 ₽",2.0,"4,58",27.0,1508.9,"617,55 ₽",3.0,"3,30"
U0004,19.0,818.6,"658,62 ₽",1.0,"4,71",20.0,587.9,"603,37 ₽",0.0,"4,82",17.0,517.8,"799,90 ₽",0.0,"4,31"
U0005,29.0,1009.1,"1 125,69 ₽",0.0,"4,06",35.0,1340.5,"1 136,26 ₽",0.0,"4,85",41.0,2206.1,"1 036,45 ₽",2.0,"4,13"
U0006,57.0,2627.1,"1 206,33 ₽",2.0,"3,95",63.0,2123.8,"1 029,56 ₽",0.0,"4,27",52.0,2820.1,"1 178,80 ₽",0.0,"4,47"
U0007,20.0,855.5,"726,04 ₽",2.0,"4,01",15.0,505.7,"651,18 ₽",1.0,"4,37",24.0,972.0,"735,72 ₽",3.0,"4,01"
U0008,38.0,1686.1,"885,64 ₽",1.0,"4,24",41.0,2232.4,"1 004,81 ₽",1.0,"4,43",44.0,1594.4,"766,19 ₽",2.0,"3,87"
U0009,19.0,761.3,"465,35 ₽",1.0,"4,40",23.0,804.8,"363,98 ₽",0.0,"4,75",32.0,987.1,"483,43 ₽",2.0,"4,41"
U0010,34.0,1116.3,"529,45 ₽",0.0,"5,00",38.0,1986.4,"820,49 ₽",1.0,"4,28",31.0,,"637,48 ₽",0.0,"4,01"
U0011,24.0,1320.2,"1 167,29 ₽",1.0,"4,61",26.0,1313.8,"1 029,67 ₽",3.0,"3,75",31.0,1225.5,"1 080,86 ₽",1.0,"4,21"
U0012,22.0,927.6,"566,48 ₽",0.0,"4,51",16.0,633.7,"327,29 ₽",0.0,"4,75",20.0,833.3,"477,31 ₽",1.0,"4,88"
U0013,33.0,1611.9,"733,05 ₽",1.0,"4,64",50.0,2672.5,"1 226,18 ₽",1.0,"4,40",44.0,2383.5,"1 048,42 ₽",1.0,"4,40"
U0014,23.0,699.8,"684,07 ₽",1.0,"4,96",33.0,1230.0,"606,56 ₽",0.0,"4,82",27.0,1146.9,"728,56 ₽",1.0,"4,11"
U0015,22.0,927.1,"702,18 ₽",1.0,"4,49",28.0,952.7,"757,56 ₽",0.0,"4,80",23.0,746.1,"778,92 ₽",0.0,"5,00"
U0016,27.0,859.7,"630,71 ₽",1.0,"4,00",29.0,1105.7,"673,98 ₽",1.0,"4,05",23.0,703.3,"655,76 ₽",0.0,"4,14"
U0017,35.0,1405.8,"650,88 ₽",1.0,"4,67",34.0,1848.5,"760,05 ₽",0.0,"4,88",35.0,1415.7,"584,38 ₽",4.0,"3,64"
U0018,28.0,1042.1,"691,94 ₽",0.0,"4,85",29.0,1213.4,"665,33 ₽",0.0,"4,75",32.0,1631.7,"794,44 ₽",3.0,"3,82"
U0019,9.0,504.7,"629,96 ₽",1.0,"4,35",5.0,331.5,"703,85 ₽",0.0,"4,99",9.0,358.9,"676,07 ₽",1.0,"3,92"
