user_id,registration_date,region,segment,tariff_id
U0001,2024-10-08, поволжье,Массовый,T02
U0002,2024-04-11,МОСКВА,МАССОВЫЙ,T01
U0003,2023-10-10,Поволжье,Массовый,T01
U0004,2023-09-12,санкт-петербург , активный,T02
U0005,2024-02-22,санкт-петербург ,Активный,T03
U0006,2025-08-08,Сибирь,премиальный ,T03
U0007,2023-01-30,санкт-петербург ,Активный,T02
U0008,2025-08-05,Центр,массовый ,T02
U0009,2024-06-20, сибирь,МАССОВЫЙ,T01
U0010,2025-03-20,СИБИРЬ,массовый ,T01
U0011,2024-06-02, москва,Премиальный,T03
U0012,2025-10-27,Санкт-Петербург,Массовый,T01
U0013,2024-01-04,СИБИРЬ, активный,T02
U0014,2025-01-27, сибирь, активный,T02
U0015,2023-11-03,мск,Массовый,T02
U0016,2023-04-03,ЮГ,МАССОВЫЙ,T02
U0017,2025-12-02, центр,Массовый,T01
U0018,2025-08-24,УРАЛ,МАССОВЫЙ,T02
U0019,2024-02-07,Юг,массовый ,T02
U0020,2024-12-03,урал ,МАССОВЫЙ,T02
U0021,2025-06-05,юг ,массовый ,T01
U0022,2023-12-01,ЮГ,АКТИВНЫЙ,T03
U0023,2025-04-22,Поволжье,Массовый,T02
U0024,2024-03-16,мск,Массовый,T02
U0025,2025-07-31,мск,Массовый,T01
U0026,2024-07-30,СПБ, активный,T02
U0027,2024-07-05,ЦЕНТР,Массовый,T02
U0028,2025-03-29,ЦЕНТР,Премиальный,T04
U0029,2024-07-03,урал ,массовый ,T01
U0030,2025-02-18, центр,Массовый,T02
U0031,2023-01-09, москва,МАССОВЫЙ,T02
U0032,2023-04-01,Поволжье,МАССОВЫЙ,T01
U0033,2023-02-11,Центр,МАССОВЫЙ,T01
U0034,2023-11-14,Москва, активный,T03
U0035,2023-08-05,урал ,Массовый,T02
U0036,2025-06-16, центр,Массовый,T02
U0037,2024-08-23, москва, активный,T03
U0038,2023-07-02,ПОВОЛЖЬЕ,МАССОВЫЙ,T01
U0039,2025-08-06, сибирь,Премиальный,T03
U0040,2025-02-14, поволжье,АКТИВНЫЙ,T02
U0041,2023-03-27,Поволжье,МАССОВЫЙ,T02
U0042,2025-07-13,ПОВОЛЖЬЕ,массовый ,T01
U0043,2023-11-12,МОСКВА,Премиальный,T03
U0044,2024-11-30,Москва,Массовый,T01
U0045,2024-12-28,мск,Массовый,T02
U0046,2025-06-16,СПБ,МАССОВЫЙ,T01
U0047,2025-04-29, центр,Премиальный,T03
U0048,2023-10-21,ЮГ,премиальный ,T04
U0049,2023-06-06,Москва,МАССОВЫЙ,T02
U0050,2023-07-28,мск,Активный,T03
U0051,2023-04-14,мск,массовый ,T01
U0052,2024-08-28,Урал,Премиальный,T03
U0053,2025-05-24,Юг,массовый ,T02
U0054,2025-06-20, центр,Активный,T03
U0055,2025-01-21,ЮГ,МАССОВЫЙ,T02
U0056,2025-11-25,юг , активный,T03
U0057,2023-06-13,Центр,АКТИВНЫЙ,T02
U0058,2025-01-19,МОСКВА,АКТИВНЫЙ,T02
U0059,2023-09-11,Санкт-Петербург,АКТИВНЫЙ,T03
U0060,2024-10-27,ЦЕНТР,Активный,T03
U0061,2025-07-23,мск,Массовый,T01
U0062,2023-03-12,МОСКВА,МАССОВЫЙ,T01
U0063,2024-05-26, сибирь,Массовый,T01
U0064,2024-04-22, сибирь,Массовый,T02
U0065,2024-03-29, поволжье,Массовый,T01
U0066,2023-06-16, центр, активный,T02
U0067,2023-03-29,Санкт-Петербург, активный,T03
U0068,2025-06-26, москва,МАССОВЫЙ,T02
U0069,2023-08-13,СИБИРЬ,Активный,T03
U0070,2023-11-15,юг ,ПРЕМИАЛЬНЫЙ,T03
U0071,2024-01-08,ЦЕНТР,массовый ,T02
U0072,2023-11-09,ЮГ,Массовый,T02
U0073,2023-07-11,УРАЛ,МАССОВЫЙ,T01
U0074,2023-10-10, москва,Массовый,T01
U0075,2025-02-07,Поволжье,Массовый,T01
U0076,2023-04-17, сибирь,Активный,T03
U0077,2025-06-16,Сибирь,АКТИВНЫЙ,T03
U0078,2025-06-05, поволжье,массовый ,T02
U0079,2023-04-07,Центр,Массовый,T02
U0080,2025-06-29,Москва,Премиальный,T03
U0081,2023-12-18,Санкт-Петербург,премиальный ,T04
U0082,2025-08-13,спб,АКТИВНЫЙ,T02
U0083,2024-10-18, москва,премиальный ,T03
U0084,2024-07-30, москва,Массовый,T01
U0085,2024-05-16,мск, активный,T02
U0086,2023-05-31,Сибирь,Массовый,T02
U0087,2024-02-04,МОСКВА,массовый ,T02
U0088,2025-08-20,Юг,АКТИВНЫЙ,T03
U0089,2025-09-04,Москва,премиальный ,T04
U0090,2025-11-17,СПБ,Массовый,T01
U0091,2024-12-24,Центр,Премиальный,T04
U0092,2023-12-30, центр,массовый ,T01
U0093,2024-09-20,МОСКВА,массовый ,T01
U0094,2025-05-04,санкт-петербург ,Активный,
U0095,2024-06-29,ПОВОЛЖЬЕ,Активный,T03
U0096,2025-05-17,Урал,МАССОВЫЙ,T02
U0097,2024-11-18,ЦЕНТР,МАССОВЫЙ,T01
U0098,2023-09-20,Сибирь,массовый ,T01
U0099,2024-03-02,урал ,Активный,T02
U0100,2023-04-04,Поволжье,Активный,T02
U0101,2024-07-13,урал ,массовый ,T02
U0102,2025-06-10, поволжье,АКТИВНЫЙ,T02
U0103,2025-10-16,санкт-петербург , активный,T02
U0104,2025-03-30, центр,МАССОВЫЙ,T01
U0105,2025-10-07,юг ,Массовый,T02
U0106,2025-05-06,спб, активный,T03
U0107,2024-09-14,Москва,массовый ,T02
U0108,2023-01-05,санкт-петербург ,Массовый,T01
U0109,2023-10-30,Сибирь,ПРЕМИАЛЬНЫЙ,T03
U0110,2023-04-05,юг ,МАССОВЫЙ,T01
U0111,2024-10-02,спб,МАССОВЫЙ,T01
U0112,2024-12-30, сибирь,МАССОВЫЙ,T01
U0113,2025-12-24,Центр,Активный,T03
U0114,2024-01-19, сибирь,Активный,T03
U0115,2025-02-19,УРАЛ,массовый ,T01
U0116,2023-11-16,ЦЕНТР,массовый ,T02
U0117,2024-04-23,УРАЛ,Премиальный,T03
U0118,2023-06-23,Центр,Активный,T03
U0119,2025-02-13,Центр,Массовый,T01
U0120,2023-04-15,ЮГ,массовый ,T02
U0121,2024-09-03,Санкт-Петербург,Массовый,T02
U0122,2024-09-24,Москва,ПРЕМИАЛЬНЫЙ,T04
U0123,2025-04-16,спб, активный,T02
U0124,2024-05-19,мск,массовый ,T02
U0125,2023-12-29, сибирь, активный,T03
U0126,2024-11-17, сибирь,массовый ,T02
U0127,2024-08-29,спб,АКТИВНЫЙ,T02
U0128,2025-04-17,санкт-петербург , активный,T03
U0129,2025-11-21,МОСКВА,массовый ,T02
U0130,2025-09-07,СИБИРЬ,массовый ,T01
U0131,2024-08-14, поволжье,массовый ,T01
U0132,2023-12-27,санкт-петербург , активный,T03
U0133,2024-10-14,Сибирь,массовый ,T01
U0134,2025-11-22,МОСКВА,Активный,T03
U0135,2024-11-13,спб,Массовый,T02
U0136,2025-01-11,спб,Массовый,T02
U0137,2023-02-05,Юг, активный,T03
U0138,2025-01-19,Сибирь,МАССОВЫЙ,T01
U0139,2025-03-22,ЦЕНТР,Массовый,T02
U0140,2023-05-14,СИБИРЬ,Премиальный,T04
U0141,2024-07-26,ЦЕНТР,Активный,T02
U0142,2023-06-28,Урал,Активный,T03
U0143,2025-09-25, сибирь,массовый ,T02
U0144,2024-05-11,ЦЕНТР,АКТИВНЫЙ,T03
U0145,2023-12-22,ЮГ,Активный,T02
U0146,2025-09-16,юг ,МАССОВЫЙ,T02
U0147,2023-06-28,Урал,премиальный ,T04
U0148,2024-07-28,Москва,Активный,T03
U0149,2024-03-21,МОСКВА,массовый ,T01
U0150,2025-11-20, поволжье,Массовый,T01
U0151,2025-12-04,ЦЕНТР,ПРЕМИАЛЬНЫЙ,T04
U0152,2024-12-25,спб,МАССОВЫЙ,T02
U0153,2023-09-02,Урал,Массовый,T02
U0154,2025-09-20,спб,премиальный ,T03
U0155,2023-12-12,СПБ, активный,T02
U0156,2024-08-14, сибирь,МАССОВЫЙ,T01
U0157,2025-07-21,мск,МАССОВЫЙ,T02
U0158,2024-11-23,ЮГ,МАССОВЫЙ,T01
U0159,2025-08-13,Москва,МАССОВЫЙ,T02
U0160,2023-10-01,СИБИРЬ,массовый ,T02
U0161,2024-05-01, поволжье,массовый ,T01
U0162,2023-06-14,ЦЕНТР, активный,T02
U0163,2024-02-14,Москва, активный,T03
U0164,2023-04-30, сибирь,АКТИВНЫЙ,T02
U0165,2025-03-08,СПБ,массовый ,
U0166,2023-01-30, москва,массовый ,T02
U0167,2023-03-19,урал ,МАССОВЫЙ,T02
U0168,2025-06-04,Сибирь,Активный,T03
U0169,2024-10-21,юг ,Активный,T02
U0170,2025-07-08, центр,массовый ,T02
U0171,2025-07-06, центр,АКТИВНЫЙ,T02
U0172,2023-03-07,ЦЕНТР,Массовый,T02
U0173,2023-06-01,Урал,Активный,T02
U0174,2023-05-15,спб,премиальный ,T03
U0175,2024-03-05,мск,АКТИВНЫЙ,T03
U0176,2024-11-16,Сибирь,МАССОВЫЙ,T01
U0177,2025-04-27,Москва,Массовый,T02
U0178,2025-05-24, сибирь,Массовый,T02
U0179,2024-07-26, москва, активный,T03
U0180,2023-01-05, москва,ПРЕМИАЛЬНЫЙ,T03
U0181,2024-04-22,Москва,МАССОВЫЙ,T02
U0182,2023-07-24,Центр,Премиальный,T04
U0183,2025-05-04,юг ,премиальный ,T03
U0184,2025-11-05,мск,МАССОВЫЙ,T01
U0185,2023-03-13,санкт-петербург ,Активный,T02
U0186,2023-05-10,санкт-петербург ,Массовый,T02
U0187,2023-11-15,Москва,МАССОВЫЙ,T02
U0188,2024-05-23,ЦЕНТР,массовый ,T02
U0189,2023-11-25,мск,АКТИВНЫЙ,T02
U0190,2024-06-11,Урал,Массовый,T01
U0191,2024-12-03,МОСКВА,АКТИВНЫЙ,T02
U0192,2023-02-18,МОСКВА, активный,T02
U0193,2025-09-25,ПОВОЛЖЬЕ,массовый ,T01
U0194,2025-12-16,мск,ПРЕМИАЛЬНЫЙ,T04
U0195,2023-10-19,МОСКВА,премиальный ,T03
U0196,2023-12-03, сибирь,массовый ,T01
U0197,2023-03-20,Санкт-Петербург, активный,T03
U0198,2023-04-26, поволжье, активный,T02
U0199,2023-07-18,юг ,Массовый,T02
U0200,2025-12-30,Москва,Активный,T02
U0201,2023-06-18,СИБИРЬ,МАССОВЫЙ,T01
U0202,2025-07-26,Санкт-Петербург, активный,T03
U0203,2024-03-30,урал ,АКТИВНЫЙ,T03
U0204,2025-02-04,Сибирь,Активный,T02
U0205,2025-04-18,Москва, активный,T02
U0206,2024-04-05,Центр,Массовый,T01
U0207,2025-01-16,Центр, активный,T02
U0208,2024-10-17, центр,ПРЕМИАЛЬНЫЙ,T04
U0209,2024-04-29,мск,Массовый,T02
U0210,2023-11-17, москва,массовый ,T02
U0211,2025-04-14, сибирь,АКТИВНЫЙ,T03
U0212,2023-03-03, центр, активный,T02
U0213,2023-09-11,МОСКВА, активный,T02
U0214,2023-08-06,МОСКВА,массовый ,T01
U0215,2024-04-16, сибирь,массовый ,T02
U0216,2025-05-22,Сибирь,массовый ,T01
U0217,2025-02-09, москва,МАССОВЫЙ,T02
U0218,2023-12-21, москва,Массовый,T02
U0219,2024-08-05, центр,МАССОВЫЙ,T02
U0220,2023-03-09, сибирь,Активный,T02
U0221,2024-08-15, центр,массовый ,T02
U0222,2023-07-01, поволжье,МАССОВЫЙ,T01
U0223,2025-08-08,ЦЕНТР,Массовый,T01
U0224,2023-05-02,ЦЕНТР, активный,T02
U0225,2024-07-18,Центр,Массовый,T02
U0226,2024-03-19,мск,МАССОВЫЙ,T02
U0227,2025-10-22, центр,Массовый,T01
U0228,2024-08-22,Центр,МАССОВЫЙ,T01
U0229,2024-12-12,СИБИРЬ,Активный,T03
U0230,2024-04-07,МОСКВА,массовый ,T02
U0231,2023-01-27,Урал,массовый ,T02
U0232,2023-09-08,санкт-петербург ,АКТИВНЫЙ,T02
U0233,2025-02-14,ПОВОЛЖЬЕ,массовый ,T01
U0234,2024-02-01,СПБ,массовый ,T01
U0235,2023-06-10,ЮГ,массовый ,T01
U0236,2024-03-04,ПОВОЛЖЬЕ,Активный,T02
U0237,2023-07-24,Москва,премиальный ,T04
U0238,2025-04-21, центр,массовый ,T01
U0239,2024-08-27,ЮГ,МАССОВЫЙ,T01
U0240,2023-10-17,мск,Активный,T02
U0241,2025-07-02,юг ,Активный,
U0242,2025-10-10,МОСКВА,Активный,T02
U0243,2025-11-09,ЦЕНТР,Премиальный,T03
U0244,2025-10-01,урал ,Массовый,T01
U0245,2024-04-19,санкт-петербург ,АКТИВНЫЙ,T03
U0246,2025-09-19,Сибирь,массовый ,T02
U0247,2024-03-28,ЮГ,Активный,T02
