order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount,comment,channel_raw,order_date_raw,is_duplicate_order,invalid_date,invalid_quantity,invalid_price,invalid_discount,missing_key,unknown_product,unknown_client,unknown_region,exclude_from_report,quality_status
ORD-1001,2026-02-03,C033,P014,R02,retail,1,15417.31,0.15,,Retail ,2026-02-03,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1002,2026-01-26,C010,P010,R03,marketplace,5,5179.59,0.1,regular order,MarketPlace,2026-01-26,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1003,2026-01-15,C024,P001,R03,online,4,65077.84,0.0,,Online,2026-01-15,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1004,2026-03-04,C005,P008,R05,marketplace,1,24490.57,0.0,regular order,MarketPlace,2026-03-04,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1005,2026-02-03,C034,P005,R05,retail,5,11533.09,0.03,regular order,retail,2026-02-03,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1006,2026-03-25,C024,P007,R04,retail,4,15743.45,0.15,repeat client,Retail ,2026-03-25,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1007,2026-01-03,C038,P004,R05,online,1,2473.12,0.05,regular order,Online,2026-01-03,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1008,2026-01-30,C005,P001,R01,marketplace,6,53990.85,0.0,promo,MarketPlace,2026-01-30,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1009,2026-03-04,C014,P003,R05,online,3,979.6,0.15,repeat client,Online,2026-03-04,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1010,2026-01-13,C007,P008,R06,retail,4,23813.49,0.03,promo,retail,2026-01-13,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1011,2026-03-28,C007,P014,R01,retail,6,16884.39,0.0,promo,retail,2026-03-28,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1012,2026-02-27,C009,P004,R04,online,2,2473.79,0.1,promo,Online,2026-02-27,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1013,2026-03-12,C007,P015,R01,marketplace,1,12236.64,0.07,,marketplace,2026-03-12,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1014,2026-02-22,C032,P003,R04,online,2,1113.57,0.03,repeat client,Online,2026-02-22,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1015,2026-02-03,C030,P002,R03,retail,1,91929.98,0.07,repeat client,retail,2026-02-03,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1016,2026-03-16,C035,P005,R01,marketplace,2,9818.13,0.0,promo,marketplace,2026-03-16,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1017,2026-03-09,C011,P002,R01,retail,4,87979.91,0.1,,Retail ,2026-03-09,False,False,False,False,False,False,False,False,False,False,ready_for_report
ORD-1018,2026-01-31,C026,P006,R01,retail,1,27611.6,0.15,regular order,Retail ,2026-01-31,False,False,False,False,False,False,False,False,False,False,ready_for_report
