macro_region,region_name,channel,orders_count,total_quantity,total_revenue,avg_order_revenue,total_margin
Сибирский,Новосибирск,online,14,52,1249073.1574000001,89219.51124285716,330523.1574
Приволжский,Казань,marketplace,7,25,977217.0103000001,139602.43004285716,331017.0103
Уральский,Екатеринбург,marketplace,6,23,851209.3393000001,141868.2232166667,258119.33930000005
Центральный,Москва,marketplace,12,38,794840.6653,66236.72210833333,232560.66529999996
Уральский,Екатеринбург,online,13,53,628533.0104,48348.69310769231,179113.01039999997
Приволжский,Казань,retail,9,29,578942.2122999999,64326.91247777777,137742.21229999993
Северо-Западный,Санкт-Петербург,online,9,31,554203.4355,61578.1595,164253.4355
Северо-Западный,Санкт-Петербург,marketplace,12,40,549105.2339,45758.769491666666,151665.2339
Южный,Ростов-на-Дону,online,8,29,534725.2143999999,66840.65179999999,150725.2144
Центральный,Москва,retail,7,27,506533.4738,72361.92482857143,87443.47380000002
Приволжский,Казань,online,8,23,441758.0842,55219.760525,145058.08419999998
Сибирский,Новосибирск,marketplace,9,34,375774.107,41752.678555555554,120374.10699999999
Центральный,Москва,online,8,27,313559.17610000004,39194.897012500005,77379.17610000001
Уральский,Екатеринбург,retail,5,21,282703.9814,56540.796279999995,78703.98140000002
Сибирский,Новосибирск,retail,6,22,263877.7906,43979.631766666665,74477.79059999998
Южный,Ростов-на-Дону,marketplace,8,27,255877.2797,31984.6599625,94117.27970000001
Южный,Ростов-на-Дону,retail,5,15,145236.80190000002,29047.360380000006,49236.80190000001
Северо-Западный,Санкт-Петербург,retail,4,16,112884.36409999999,28221.091024999998,38064.3641
