order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount,comment,channel_raw,order_date_raw,is_duplicate_order,invalid_date,invalid_quantity,invalid_price,invalid_discount,missing_key,unknown_product,unknown_client,unknown_region,exclude_from_report,quality_status,gross_revenue,revenue,product_name,category,cost,segment,loyalty_level,registration_date,region_name,macro_region,margin,order_month,revenue_zscore,revenue_minmax
ORD-1001,2026-02-03,C033,P014,R02,retail,1,15417.31,0.15,,Retail ,2026-02-03,False,False,False,False,False,False,False,False,False,False,ready_for_report,15417.31,13104.7135,Printer A4,Electronics,11600,SMB,Silver,2024-08-12,Санкт-Петербург,Северо-Западный,1504.7134999999998,2026-02,-0.4882646239021792,0.01938515929754389
ORD-1002,2026-01-26,C010,P010,R03,marketplace,5,5179.59,0.1,regular order,MarketPlace,2026-01-26,False,False,False,False,False,False,False,False,False,False,ready_for_report,25897.95,23308.155000000002,Noise Cancelling Headset,Accessories,3100,B2B,Gold,2024-08-08,Казань,Приволжский,7808.1550000000025,2026-01,-0.38796098735734563,0.03525230516389657
ORD-1003,2026-01-15,C024,P001,R03,online,4,65077.84,0.0,,Online,2026-01-15,False,False,False,False,False,False,False,False,False,False,ready_for_report,260311.36,260311.36,Laptop Basic 14,Electronics,42000,Enterprise,Silver,2024-10-03,Казань,Приволжский,92311.35999999999,2026-01,1.9418689366227824,0.40381073954391294
ORD-1004,2026-03-04,C005,P008,R05,marketplace,1,24490.57,0.0,regular order,MarketPlace,2026-03-04,False,False,False,False,False,False,False,False,False,False,ready_for_report,24490.57,24490.57,Monitor 27,Electronics,14500,B2C,Silver,2024-08-11,Новосибирск,Сибирский,9990.57,2026-03,-0.37633740678355987,0.03709105253943289
ORD-1005,2026-02-03,C034,P005,R05,retail,5,11533.09,0.03,regular order,retail,2026-02-03,False,False,False,False,False,False,False,False,False,False,ready_for_report,57665.45,55935.4865,Office Chair,Furniture,7300,Enterprise,Bronze,2024-04-03,Новосибирск,Сибирский,19435.4865,2026-02,-0.06722214642766518,0.08599034567114537
ORD-1006,2026-03-25,C024,P007,R04,retail,4,15743.45,0.15,repeat client,Retail ,2026-03-25,False,False,False,False,False,False,False,False,False,False,ready_for_report,62973.8,53527.73,Monitor 24,Electronics,9800,Enterprise,Silver,2024-10-03,Екатеринбург,Уральский,14327.730000000003,2026-03,-0.09089129108483406,0.08224609687076183
ORD-1007,2026-01-03,C038,P004,R05,online,1,2473.12,0.05,regular order,Online,2026-01-03,False,False,False,False,False,False,False,False,False,False,ready_for_report,2473.12,2349.464,USB-C Hub,Accessories,1800,SMB,Bronze,2025-07-20,Новосибирск,Сибирский,549.4639999999999,2026-01,-0.5939927389501268,0.002659909033158419
ORD-1008,2026-01-30,C005,P001,R01,marketplace,6,53990.85,0.0,promo,MarketPlace,2026-01-30,False,False,False,False,False,False,False,False,False,False,ready_for_report,323945.1,323945.1,Laptop Basic 14,Electronics,42000,B2C,Silver,2024-08-11,Москва,Центральный,71945.09999999998,2026-01,2.5674123406740956,0.5027661591052013
ORD-1009,2026-03-04,C014,P003,R05,online,3,979.6,0.15,repeat client,Online,2026-03-04,False,False,False,False,False,False,False,False,False,False,ready_for_report,2938.8,2497.98,Wireless Mouse,Accessories,650,B2C,Bronze,2025-01-22,Новосибирск,Сибирский,547.98,2026-03,-0.5925327712632348,0.0028908629750698063
ORD-1010,2026-01-13,C007,P008,R06,retail,4,23813.49,0.03,promo,retail,2026-01-13,False,False,False,False,False,False,False,False,False,False,ready_for_report,95253.96,92396.34120000001,Monitor 27,Electronics,14500,Enterprise,Platinum,2024-08-13,Ростов-на-Дону,Южный,34396.34120000001,2026-01,0.2912016577312344,0.1426898131926469
